X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
(raw),(raw),(normalised),(normalised),(mm),(degrees),(degrees),(degrees)
799.9,355,8.3975,0.0625,,,,
788.9,354.2,8.1225,0.0425,0.2757263136,85.7886205704,,
779.1,352.5,7.8775,0,0.2486589029,80.1021885042,-5.6864320663,5.6864320663
765.9,353,7.5475,0.0125,0.3302366576,92.1258384279,12.0236499238,12.0236499238
756.8,353.1,7.32,0.015,0.2275137358,90.5665675397,-1.5592708883,1.5592708883
746.3,356,7.0575,0.0875,0.2723279273,105.3888701768,14.8223026371,14.8223026371
733.7,360.7,6.7425,0.205,0.3362012046,110.4163260766,5.0274558998,5.0274558998
724.5,363.8,6.5125,0.2825,0.242706098,108.565572669,-1.8507534076,1.8507534076
714.1,368.2,6.2525,0.3925,0.2823118843,112.8852995788,4.3197269098,4.3197269098
698.9,372.3,5.8725,0.495,0.3935813131,105.0603137153,-7.8249858635,7.8249858635
690.7,375.2,5.6675,0.5675,0.2174425211,109.4143869443,4.3540732291,4.3540732291
680.2,379.5,5.405,0.675,0.2836591264,112.2234647839,2.8090778396,2.8090778396
674.2,383,5.255,0.7625,0.1736555499,120.1850863186,7.9616215347,7.9616215347
671,386.1,5.175,0.84,0.111383347,133.9980703081,13.8129839894,13.8129839894
660,392.5,4.9,1,0.3181587654,120.1526428826,-13.8454274255,13.8454274255
654.6,395.7,4.765,1.08,0.1569235483,120.5720267689,0.4193838863,0.4193838863
646.8,398.4,4.57,1.1475,0.2063522474,109.0278098505,-11.5442169184,11.5442169184
639.1,400.4,4.3775,1.1975,0.198887531,104.4904825387,-4.5373273118,4.5373273118
627.2,405,4.08,1.3125,0.3189533665,111.092281302,6.6017987633,6.6017987633
622.3,405.2,3.9575,1.3175,0.1226019984,92.2204864841,-18.8717948178,18.8717948178
620.4,405.6,3.91,1.3275,0.0485412196,101.5995289991,9.379042515,9.379042515
614.9,413.1,3.7725,1.515,0.2325134405,143.709669157,42.110140158,42.110140158
605.7,418.6,3.5425,1.6525,0.2679668823,120.8261309072,-22.8835382499,22.8835382499
596.4,421.7,3.31,1.73,0.2450765187,108.3794229243,-12.4467079829,12.4467079829
587.4,424.2,3.085,1.7925,0.2335192712,105.4649294575,-2.9144934668,2.9144934668
585.3,427.5,3.0325,1.875,0.0977880361,147.449969014,41.9850395564,41.9850395564
575.4,431.3,2.785,1.97,0.2651061108,110.9482009652,-36.5017680488,36.5017680488
572.1,432,2.7025,1.9875,0.084335639,101.8098169126,-9.1383840526,9.1383840526
568.4,429.2,2.61,1.9175,0.1160010776,52.7848472401,-49.0249696725,49.0249696725
561.8,419.9,2.445,1.685,0.2850986671,35.3334350702,-17.4514121699,17.4514121699
559.3,415.9,2.3825,1.585,0.1179247642,31.941148461,-3.3922866093,3.3922866093
553,409.7,2.225,1.43,0.2209779401,45.4122310995,13.4710826385,13.4710826385
541.9,410,1.9475,1.4375,0.2776013328,91.49650156,46.0842704606,46.0842704606
532.6,413.4,1.715,1.5225,0.2475504999,110.0275547475,18.5310531875,18.5310531875
523.4,416.5,1.485,1.6,0.242706098,108.565572669,-1.4619820786,1.4619820786
510,420,1.15,1.6875,0.3462387182,104.5981802607,-3.9673924083,3.9673924083
500.4,425.3,0.91,1.82,0.2741464025,118.8565439018,14.2583636411,14.2583636411
487.4,426.7,0.585,1.855,0.3268791826,96.1029828488,-22.753561053,22.753561053
477.4,426.8,0.335,1.8575,0.2500124997,90.5155725092,-5.5874103396,5.5874103396
475.7,426.4,0.2925,1.8475,0.043660623,76.4406126961,-14.0749598131,14.0749598131
473.4,426.4,0.235,1.8475,0.0575,89.7509652942,13.3103525982,13.3103525982
472,426.2,0.2,1.8425,0.0353553391,81.4693032042,-8.28166209,8.28166209
470.4,426.1,0.16,1.84,0.0400780489,86.0671764256,4.5978732214,4.5978732214
464,421.3,0,1.72,0.2,53.0728943621,-32.9942820635,32.9942820635
