id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
1,19-10-84,10:41,10:56,2,2,T6,,2,5,,5,0,4,3,,,,,,,,,,,,,,,,
2,19-10-84,11:06,11:20,2,2,T6,,1,5,,5,0,4,3,,,,,,,,,,,,,,,,
3,19-10=84,10:20,10:29,2,2,T6,,,,,5,0,4,3,,,,,,,,,,,,,,,,
4,20-10-84,10:10,11:00,1,1,T1,,,,,3,2,1,0,29.2,,,,1,6,2,,,,,,,1,,
5,22-10-84,11:23,11:35,1,1,T1,12,1,3.1,,3,4,2,0,27.7,10:45,,,,,6,,1,,,1,,,,
6,22-10-84,11:45,11:55,1,1,T1,14,,,,3,4,2,0,,,13:18,0.23,1,,1,,,,,,,,,
7,22-10-84,10:59,11:10,1,1,T1,12,,,,3,4,2,0,,,,,,1,,,,,,,,,,
8,22-10-84,12:17,12:23,1,1,T1,12,,,,3,4,2,0,,,,,,,1,,,,1,,,,,
9,22-10-84,12:06,12:14,1,1,T1,12,,,,3,4,2,0,,,,,,,,,,,,,,,,
10,24-10-84,14:13,14:29,1,1,T1,14,,,,3,4,2,0,,,,,,,,,,,1,,,1,1,Trail previous to recording very contorted
11,24-10-84,13:56,14:09,1,1,T1,,,,,3,4,2,0,,,,,,,,,,,1,,,,1,
12,24-10-84,13:31,13:43,1,1,T1,10,1,2.5,,3,2,2,0,29.9,,,,1,,,,,,,1,,1,,Close encounter with large prey (10mm) no response.
13,24-10-84,12:53,13:09,1,1,T1,12.5,,,,3,2,2,0,30.8,,,,,,2,,,,,,,,,
14,25-10-84,14:26,14:32,1,1,T1,11,0,,,3,2,2,0,,,,,1,1,2,,,,,,,,,
15,25-10-84,13:58,14:05,1,1,T1,12.1,0,,,3,2,2,0,,,,,,,,,,,,,,,,
16,25-10-84,14:34,14:45,1,1,T1,11.2,0,,,3,2,2,0,,,,,,,1,,,,,,,,,
17,25-10-84,14:10,14:16,1,1,T1,12.5,0,,,3,2,2,0,,,,,,,,,,,,,,,,
18,25-10-84,14:19,14:24,1,1,T1,12.5,0,,,,,,,,,,,,,,,,,,,,,,
19,05-11-84,13:53,14:01,1,1,L1,14.5,,3.8,,,,,,24.3,,,,,1,,1,1,,1,,,,,
20,05-11-84,13:04,13:32,1,1,L1,14.5,,3.6,,,,,,24.3,,,,1,,,1,1,1,1,,,,,
21,06-11-84,11:14,11:26,1,1,L1,14.2,,,,,,,,23.8,,,,,,,,,,,,1,,,"Isolated overnight with no prey. Close encounter but appeared no response, however shows typical loop after prey encounter."
22,06-11-84,11:37,11:42,1,1,L1,14.5,,,,,,,,23.8,,,,1,,,,1,,1,,1,,,"Same as 21, repositioned to new spot, followed prey closely after A+"
23,07-11-84,09:42,09:54,1,1,L1,,,,,,,,,,,,,,,,,1,,1,,,,,"Not worth analysis, prey assessment time 60 seconds"
24,07-11-84,13:39,14:35,1,1,L1,,,,,,,,,,,,,,,,,1,,1,,1,,,"Water drained top of sand exposed at 1230, flow resumed at 1430. Initial track very convoluted but no obvious sign of attack although stopped on several occasions."
25,07-11-84,13:17,13:42,1,1,L1,,,,,,,,,,,,,3,,,,1,,1,,,,,Same conditions as 24
25B,09-11-84,15:32,15:46,1,1,L1,,,,,,,,,,,,,2,1,,1,1,,1,1,,,1,"1-4 uds, 4 [A,} no reaction, 4-27 uds"
26,09-11-84,15:15,15:20,1,1,L1,,,,,,,,,,,,,,,,,,,1,,,,,
27,10-11-84,14:53,15:15,1,1,L1,,,,,,,,,,,,,2,1,,,1,,1,,,,,
28,10-11-84,15:16,15:20,1,1,L1,,,,,,,,,,,,,1,,,,1,,1,1,,,,
29,11-11-84,10:24,10:39,1,1,L1,,,,,,,,,,,,,1,,,,1,,1,3,,,,"water drained 0945, light surface water remaining in area of search PIT on surfacing, PC diff prey, PIT older one may just have been trailed in mucus"
30,12-11-84,12:16,17:15,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,"no prey in area, trail not observed, track drawn, occurred between 1600-1715"
31,12-11-84,17:20,17:34,1,0,L1,,,,,,,,,,,,,,,1,,,,,,,,2,"no prey in area, possible detection of P.conicus buried"
32,12-11-84,17:49,18:10,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,5,"no prey in area, continuation of 31"
33,12-11-84,12:19,14:00,1,0,L1,,,,,,,,,,,,,,,1,,,,,,,,,"no prey in area, entire track whilst pred buried (D4) points no recorded at 15 sec intervals"
34,13-11-84,09:50,11:11,1,0,L1,,,,,,,,,,,,,,,2,,,,,,,,,"no prey in area, encounter with other buried Polinices"
35,13-11-84,10:55,11:13,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,1,"no prey in area, possible encounter with buried Polinices"
