X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
25322.0,12604.0,27.75,48.8,,,,
25967.0,12822.0,43.875,54.25,17.0211082189,251.326401458,,
25875.0,12166.0,41.575,37.85,16.5604951617,7.98320249596,116.656801038,116.656801038
26103.0,11377.0,47.275,18.125,20.5320633401,343.882293621,-24.1009088749,24.1009088749
25207.0,11267.0,24.875,15.375,22.5681744942,83.0003829838,99.1180893627,99.1180893627
24587.0,10652.0,9.375,0.0,21.8321007922,45.2315378564,-37.7688451274,37.7688451274
24267.0,11476.0,1.375,20.6,22.0988687493,158.776090922,113.544553066,113.544553066
24869.0,11520.0,16.425,21.7,15.0901457912,265.820721086,107.044630164,107.044630164
25403.0,11578.0,29.775,23.15,13.4285144376,263.802293918,-2.01842716793,2.01842716793
25961.0,11546.0,43.725,22.35,13.9729202388,273.283134712,9.48084079448,9.48084079448
25507.0,10822.0,32.375,4.25,21.3642809381,32.0903367921,118.80720208,118.80720208
24644.0,10952.0,10.8,7.5,21.8184125225,98.5657560545,66.4754192623,66.4754192623
24212.0,11702.0,0.0,26.25,21.6379874295,150.057701766,51.4919457112,51.4919457112
24500.0,12327.0,7.2,41.875,17.2040874504,204.740619562,54.6829177968,54.6829177968
24727.0,12913.0,12.875,56.525,15.7107646217,201.175320725,-3.56529883711,3.56529883711
24715.0,13642.0,12.575,74.75,18.2274689686,179.056931037,-22.1183896885,22.1183896885
25452.0,13712.0,31.0,76.5,18.5079206017,264.575185109,85.5182540722,85.5182540722
26237.0,13587.0,50.625,73.375,19.8722482372,279.048215455,14.4730303457,14.4730303457
26670.0,12967.0,61.45,57.875,18.9058357393,325.070452954,46.0222374993,46.0222374993
26716.0,12097.0,62.6,36.125,21.7803810802,356.973418462,31.9029655076,31.9029655076
26480.0,11254.0,56.7,15.05,21.8852832972,15.6395621794,18.6661437178,18.6661437178
25861.0,10768.0,41.225,2.9,19.6748094019,51.8626898492,36.2231276698,36.2231276698
